,name,style,brewery_id,id,abv,ibu,ounces
1669,Oktoberfest Revolution,Märzen / Oktoberfest,44,417,0.057,25.0,12.0
1670,Eugene Porter,American Porter,44,416,0.068,28.0,12.0
1671,Anti-Hero IPA,American IPA,44,415,0.065,70.0,12.0
1672,Bottom Up Belgian Wit,Witbier,44,414,0.05,14.0,12.0
1673,Hustle,American Amber / Red Ale,93,2452,0.057,42.0,12.0
1674,Pure Fury,American Pale Ale (APA),93,2451,0.055,42.0,12.0
1675,Dad,American Amber / Red Ale,93,2132,0.06,60.0,12.0
1676,Panther,American Porter,93,1993,0.058,35.0,12.0
1677,Franz,Märzen / Oktoberfest,93,1992,0.052000000000000005,21.0,12.0
1678,Zen,American Pale Ale (APA),93,1935,0.043,45.0,12.0
1679,Truth,American IPA,93,1852,0.07200000000000001,75.0,12.0
1680,Cougar,American Blonde Ale,93,1851,0.048,25.0,12.0
1681,Smooth Operator,Cream Ale,162,2307,0.038,,16.0
1682,Gose,Gose,42,2580,0.035,,16.0
1683,Maine Island Trail Ale,American Pale Ale (APA),42,1807,0.043,,16.0
1684,River North White Ale,Witbier,459,1180,0.05,,16.0
1685,River North Ale,American Amber / Red Ale,459,1179,0.05,,16.0
1686,Lil SIPA,American IPA,321,1771,0.05,55.0,16.0
1687,Hop Bomber Rye Pale Ale,American Pale Ale (APA),321,1654,0.055,60.0,16.0
1688,Jah Mon,American IPA,43,2579,0.05,100.0,12.0
1689,Oktoberfest,Märzen / Oktoberfest,43,2373,0.062,,12.0
1690,Headless Wylie,Pumpkin Ale,43,2049,0.08,,12.0
1691,Dayman IPA,American IPA,43,2048,0.05,,12.0
1692,All Aboard! Anniversary Stout,Oatmeal Stout,43,1880,0.071,,12.0
1693,Hop Lace,American White IPA,43,1879,0.062,,12.0
1694,OH-PA Session Pale Ale,American Pale Ale (APA),43,1878,0.048,,12.0
1695,Patrick's Poison,American Amber / Red Ale,43,1877,0.08,,12.0
1696,Rudolph's Red,American Amber / Red Ale,43,1764,0.081,,12.0
1697,Babbling Blonde,American Blonde Ale,43,1103,0.053,,12.0
1698,Maxwell's Scottish Ale,Scottish Ale,43,1102,0.051,,12.0
1699,Grateful White,Witbier,43,1101,0.061,,12.0
1700,RT Lager,American Amber / Red Lager,43,1100,0.055,,12.0
1701,Old Wylie's IPA,American IPA,43,1099,0.062,,12.0
1702,Hala Kahiki Pineapple Beer,Fruit / Vegetable Beer,43,1098,0.048,,12.0
1703,Track 1 Amber Lager,American Amber / Red Lager,427,1330,0.045,,16.0
1704,Pine Knob Pilsner,Czech Pilsener,229,2074,0.053,,16.0
1705,Cal and Co. Black Cherry Porter,American Porter,229,1724,,,16.0
1706,Lazy Daze Lager,American Adjunct Lager,229,1280,0.055,,16.0
1707,Rochester Red Ale,American Amber / Red Ale,229,899,0.059,,16.0
1708,Milkshake Stout,Milk / Sweet Stout,229,363,0.05,,16.0
1709,Cornerstone IPA,American IPA,229,158,0.07,,16.0
1710,Rogue American Amber Ale,American Amber / Red Ale,289,1860,0.051,,16.0
1711,12th Round,American Strong Ale,376,1577,0.076,78.0,16.0
1712,RoughTail IPA,American IPA,376,1576,0.07,80.0,16.0
1713,Polar Night Stout,American Stout,376,1575,0.08,,16.0
1714,Sundown,Saison / Farmhouse Ale,164,2304,0.071,36.0,12.0
1715,Sanctified,Belgian Strong Pale Ale,164,2249,0.099,,12.0
1716,Fear of a Brett Planet,American Pale Ale (APA),164,2053,0.051,,12.0
1717,Original Slacker Ale,English Brown Ale,164,1842,0.056,40.0,12.0
1718,Alpha Blackback,American Black Ale,164,1841,0.07200000000000001,,12.0
1719,Kiss Off IPA,American IPA,164,1782,0.063,,12.0
1720,Dog Days Summer Ale,Kölsch,164,1552,0.045,28.0,12.0
1721,1881 California Red,American Amber / Red Ale,397,1479,0.056,35.0,12.0
1722,CAPT Black IPA,American Black Ale,397,1478,0.073,55.0,12.0
1723,Ruhstaller's Gilt Edge Lager Beer,American Amber / Red Lager,397,1370,0.048,42.0,12.0
1724,1881 California Red Ale,American Amber / Red Ale,397,882,0.056,35.0,16.0
1725,Saint Archer White Ale,Witbier,288,1868,0.05,15.0,12.0
1726,Saint Archer IPA,American IPA,288,1867,0.068,66.0,12.0
1727,Saint Archer Pale Ale,American Pale Ale (APA),288,1865,0.052000000000000005,40.0,12.0
1728,Saint Archer Blonde,Kölsch,288,1864,0.048,22.0,12.0
1729,Sex Panther,American Porter,30,2599,0.069,20.0,12.0
1730,Winter Warmer (Vault Series),Winter Warmer,30,2073,0.095,25.0,16.0
1731,Count Hopula (Vault Series),American Double / Imperial IPA,30,2063,0.091,99.0,16.0
1732,Oktoberfest,Märzen / Oktoberfest,30,1995,0.055,,12.0
1733,SunSpot Golden Ale,American Blonde Ale,30,1934,0.05,15.0,12.0
1734,I.W.A. (2011),American Pale Wheat Ale,30,1329,0.06,,12.0
1735,Supermonk I.P.A.,Belgian IPA,30,1299,0.065,,12.0
1736,Epicenter Amber Ale,American Amber / Red Ale,30,1073,0.055,20.0,12.0
1737,SanTan HefeWeizen,Hefeweizen,30,1072,0.05,15.0,12.0
1738,Hop Shock IPA,American IPA,30,1071,0.07,85.0,12.0
