,name,style,brewery_id,id,abv,ibu,ounces
1928,Onyx Black Ale,American Black Ale,131,2151,0.052000000000000005,9.0,12.0
1929,Beyond The Pale IPA,American IPA,131,2150,0.063,64.0,12.0
1930,Point Special (2013),American Adjunct Lager,131,2122,0.047,9.0,12.0
1931,Point Special (2012),American Adjunct Lager,131,2121,0.047,9.0,12.0
1932,Point Special Lager,American Adjunct Lager,131,2115,0.047,9.0,16.0
1933,St. Benedict's Winter Ale,Winter Warmer,131,1450,0.062,,12.0
1934,Point Oktoberfest,Märzen / Oktoberfest,131,1357,0.057,15.0,16.0
1935,Point Nude Beach Summer Wheat,American Pale Wheat Ale,131,1225,0.052000000000000005,7.0,16.0
1936,Point Nude Beach Summer Wheat (2011),American Pale Wheat Ale,131,772,0.05,7.0,12.0
1937,Drop Dead Blonde,American Blonde Ale,131,684,0.035,,12.0
1938,Three Kings Ale,Kölsch,131,650,0.049,13.0,12.0
1939,2012 Black Ale,American Brown Ale,131,357,0.054000000000000006,32.0,12.0
1940,Point Nude Beach Summer Wheat (2010),American Pale Wheat Ale,131,141,0.05,7.0,12.0
1941,Point Cascade Pale Ale,American Pale Ale (APA),131,140,0.054000000000000006,33.0,12.0
1942,Point Amber Classic,American Amber / Red Lager,131,139,0.047,14.0,12.0
1943,Wisco Disco,American Amber / Red Ale,486,953,0.051,31.0,16.0
1944,Brontide,American Black Ale,255,1983,0.05,,12.0
1945,Classique,Saison / Farmhouse Ale,255,1344,0.045,,12.0
1946,Sunsplash Golden Ale (2004),American Blonde Ale,492,922,0.045,,12.0
1947,Sand Island Lighthouse,Kölsch,412,1410,0.051,25.0,12.0
1948,Lily Flagg Milk Stout,Milk / Sweet Stout,412,925,0.05,30.0,12.0
1949,Monkeynaut IPA,American IPA,412,637,0.07200000000000001,70.0,12.0
1950,Straub Beer (Current),American Adjunct Lager,129,2369,0.05,,12.0
1951,American Lager,American Adjunct Lager,129,2233,0.041,8.0,12.0
1952,American Amber,American Amber / Red Lager,129,2232,0.041,8.0,12.0
1953,American Light,Light Lager,129,2231,0.032,13.0,12.0
1954,Extra Pale Ale,American Pale Ale (APA),138,2352,0.053,49.0,12.0
1955,Make It So,Extra Special / Strong Bitter (ESB),58,2549,0.053,40.0,12.0
1956,Hopvale Organic Ale,American Pale Ale (APA),58,2473,0.047,55.0,16.0
1957,Unchained #18 Hop Silo,American Double / Imperial IPA,58,2415,0.083,100.0,16.0
1958,Tip Off,Altbier,25,2605,0.052000000000000005,29.0,16.0
1959,Java Mac,Scottish Ale,25,2215,0.054000000000000006,,16.0
1960,Cowbell,American Porter,25,2164,0.054000000000000006,23.0,16.0
1961,Hop Up Offa That Brett (2014),Belgian Pale Ale,25,2085,0.058,20.0,16.0
1962,PV Muckle (2013),Scotch Ale / Wee Heavy,25,2084,0.083,23.0,16.0
1963,Bourbon Barrel Batch 666: Sympathy for the Devil,Belgian Dark Ale,25,2083,0.099,36.0,16.0
1964,Whip Fight,Scotch Ale / Wee Heavy,25,2082,0.09,30.0,16.0
1965,Port Barrel Wee Mac ,Scotch Ale / Wee Heavy,25,2081,0.053,23.0,16.0
1966,Fistful Of Hops Red,American IPA,25,2001,0.064,75.0,16.0
1967,Fistful of Hops Orange,American IPA,25,2000,0.063,75.0,16.0
1968,Fistful Of Hops Blue,American IPA,25,1999,0.064,75.0,16.0
1969,Fistful of Hops Green,American IPA,25,1996,0.064,75.0,16.0
1970,30 Min Coma,Belgian IPA,25,1948,,,16.0
1971,Wee Muckle,Scotch Ale / Wee Heavy,25,1656,0.09,30.0,16.0
1972,Royal Brat,Extra Special / Strong Bitter (ESB),25,1599,0.065,55.0,16.0
1973,Grapefruit Jungle (GFJ),American IPA,25,1420,0.075,77.0,16.0
1974,Osiris Pale Ale,American Pale Ale (APA),25,1389,0.056,50.0,16.0
1975,Bourbon Barrel Aged Timmie,Russian Imperial Stout,25,1367,0.099,75.0,16.0
1976,Stupid Sexy Flanders,Flanders Oud Bruin,25,1366,0.063,23.0,16.0
1977,Bourbon Barrel Cowbell,American Porter,25,1347,,,16.0
1978,Popcorn Pilsner,German Pilsener,25,1314,0.054000000000000006,,16.0
1979,Ring of Dingle,Irish Dry Stout,25,1128,0.071,27.0,16.0
1980,Bourbon Barrel Wee Mac,Scottish Ale,25,1127,0.054000000000000006,23.0,16.0
1981,Bourbon Barrel Johan,English Barleywine,25,1049,0.099,60.0,16.0
1982,The Deuce,American Brown Ale,25,934,0.07,,16.0
1983,The Velvet Fog,Quadrupel (Quad),25,923,0.09,24.0,16.0
1984,Sun King Oktoberfest,Märzen / Oktoberfest,25,874,0.055,23.0,16.0
1985,Indianapolis Indians Lager,Dortmunder / Export Lager,25,739,0.052000000000000005,24.0,16.0
1986,Indians Victory Lager (2012),Dortmunder / Export Lager,25,698,0.052000000000000005,24.0,16.0
1987,Chaka,Belgian Strong Pale Ale,25,660,0.08,,16.0
1988,Isis,American Double / Imperial IPA,25,651,0.091,91.0,16.0
1989,Wee Muckle (2011),Scotch Ale / Wee Heavy,25,584,0.09,30.0,16.0
1990,Grapefruit Jungle (GFJ) (2011),American IPA,25,532,0.075,77.0,16.0
1991,Sun King Oktoberfest (2011),Märzen / Oktoberfest,25,526,0.055,23.0,16.0
1992,Johan the Barleywine,English Barleywine,25,394,0.099,60.0,16.0
1993,Wee Mac Scottish-Style Ale,Scottish Ale,25,213,0.054000000000000006,23.0,16.0
1994,Sunlight Cream Ale,Cream Ale,25,55,0.053,20.0,16.0
1995,Osiris Pale Ale (2010),American Pale Ale (APA),25,54,0.056,50.0,16.0
1996,Dam Lager,American Amber / Red Lager,455,1207,0.045,,12.0
1997,Red Clay IPA,American IPA,455,1206,0.07,,12.0
1998,Todd the Axe Man,American IPA,61,2543,0.07200000000000001,,16.0
1999,Doomtree,Extra Special / Strong Bitter (ESB),61,2409,0.057,,16.0
2000,BLAKKR,American Black Ale,61,1739,0.099,85.0,16.0
2001,Overrated! West Coast Style IPA,American IPA,61,1112,0.073,69.0,16.0
2002,WET,American IPA,61,329,0.075,90.0,16.0
2003,Bitter Brewer,English Bitter,61,19,0.04,37.0,16.0
2004,SurlyFest,Rye Beer,61,18,0.055,34.0,16.0
2005,Coffee Bender,American Brown Ale,61,17,0.051,45.0,16.0
2006,Bender,American Brown Ale,61,16,0.051,45.0,16.0
2007,Abrasive Ale,American Double / Imperial IPA,61,15,0.097,120.0,16.0
2008,Hell,Keller Bier / Zwickel Bier,61,14,0.051,20.0,16.0
2009,CynicAle,Saison / Farmhouse Ale,61,13,0.067,33.0,16.0
2010,Furious,American IPA,61,12,0.062,99.0,16.0
2011,Big Nose,American IPA,447,1242,0.073,50.0,12.0
2012,Cotton Mouth,Witbier,447,1241,0.05,10.0,12.0
2013,Stump Knocker Pale Ale,American Pale Ale (APA),447,1240,0.056,35.0,12.0
2014,Midnight Oil,Oatmeal Stout,447,1239,0.05,38.0,12.0
2015,Wild Night,Cream Ale,447,1238,0.059,18.0,12.0
2016,Bermuda Triangle Ginger Beer,Herbed / Spiced Beer,381,1554,0.045,,12.0
2017,Take Two Pils,German Pilsener,49,2568,0.055,35.0,12.0
2018,Waterkeeper,Hefeweizen,49,2551,0.057,,12.0
2019,SweetWater IPA,American IPA,49,1710,0.064,,12.0
2020,420 Extra Pale Ale,American Pale Ale (APA),49,1709,0.054000000000000006,,12.0
2021,Dodgy Knight Imperial IPA,American Double / Imperial IPA,449,1229,0.08,95.0,12.0
2022,TailGate Saison,Saison / Farmhouse Ale,449,1164,0.05,,12.0
2023,TailGate IPA,American IPA,449,663,0.05,44.0,24.0
2024,TailGate Hefeweizen,Hefeweizen,449,623,0.049,28.0,24.0
2025,Blacktop Blonde,American Blonde Ale,449,622,0.05,19.0,24.0
2026,Wooden Rooster,Tripel,45,2575,0.085,34.0,16.9
2027,Ginger Peach Saison,Saison / Farmhouse Ale,45,2555,0.048,20.0,16.0
2028,Zombie Monkie,American Porter,45,1736,0.062,35.0,16.0
2029,Wild Plum Farmhouse Ale,Saison / Farmhouse Ale,45,1196,0.056,20.0,16.0
2030,Vanilla Bean Buffalo Sweat,Oatmeal Stout,45,1063,0.05,20.0,16.0
2031,Ethos IPA,American IPA,45,1017,0.068,110.0,16.0
2032,Tallgrass Pub Ale,American Brown Ale,45,1009,0.044,12.0,16.0
2033,Oasis,Extra Special / Strong Bitter (ESB),45,912,0.07200000000000001,93.0,16.0
2034,Buffalo Sweat,Milk / Sweet Stout,45,765,0.05,20.0,16.0
2035,Halcyon Unfiltered Wheat,American Pale Wheat Ale,45,676,0.05,20.0,16.0
2036,8-Bit Pale Ale,American Pale Ale (APA),45,595,0.052000000000000005,,16.0
2037,Velvet Rooster,Tripel,45,537,0.085,,16.0
2038,Köld Lager (2010),German Pilsener,45,105,0.05,16.0,16.0
2039,Oasis (2010),American Double / Imperial IPA,45,104,0.07200000000000001,93.0,16.0
2040,Tallgrass Ale,American Brown Ale,45,103,0.044,22.0,16.0
2041,Buffalo Sweat (2010),Milk / Sweet Stout,45,102,0.05,20.0,16.0
2042,Tallgrass IPA,American IPA,45,101,0.063,60.0,16.0
2043,Hat Trick Hop IPA,American IPA,409,1433,0.068,,16.0
2044,Yard Sale Amber Ale,American Amber / Red Ale,409,1432,0.056,,16.0
2045,Loafin Bräu,Altbier,490,936,0.055,,16.0
2046,Old Elephant Foot IPA,American IPA,490,544,0.07,80.0,16.0
2047,Peck's Porter,American Porter,7,2640,0.065,35.0,16.0
2048,Reactor,American IPA,7,2448,0.07,,16.0
2049,Mr. Orange,Witbier,7,2447,0.057,,16.0
2050,Deduction,Dubbel,28,2601,0.08,22.0,12.0
2051,Face Down Brown Ale,American Brown Ale,480,973,0.057,,12.0
2052,Tempter IPA,American IPA,480,827,0.064,,12.0
2053,Bridal Veil Rye Pale Ale,American Pale Ale (APA),480,589,0.055,,12.0
2054,Smittytown,Extra Special / Strong Bitter (ESB),210,2155,0.048,,12.0
2055,Greenwood Beach,Fruit / Vegetable Beer,210,1982,0.04,,12.0
2056,Gatecrasher,English India Pale Ale (IPA),210,1939,0.066,,12.0
2057,RecreationAle,American Pale Ale (APA),469,1082,0.047,42.0,12.0
2058,First Stand,Saison / Farmhouse Ale,215,2119,0.055,35.0,12.0
2059,Battle LIne,American Brown Ale,215,2118,0.063,23.0,12.0
2060,Broken Bridge,Dunkelweizen,215,2117,0.056,12.0,12.0
2061,Brutus,English India Pale Ale (IPA),215,2116,0.071,69.0,12.0
2062,Petit Mutant,American Wild Ale,272,1916,0.06,,16.0
2063,The Crusher,American Double / Imperial IPA,272,1915,0.096,,16.0
2064,Beelzebub,American Double / Imperial Stout,272,1914,0.08,,16.0
2065,Focal Banger,American IPA,272,1810,0.07,,16.0
2066,Heady Topper,American Double / Imperial IPA,272,1111,0.08,120.0,16.0
2067,Bomber Mountain Amber Ale (2013),American Amber / Red Ale,457,1200,0.046,20.0,12.0
2068,Indian Paintbrush IPA,American IPA,457,1199,0.07,75.0,12.0
2069,Saddle Bronc Brown Ale (2013),English Brown Ale,457,1198,0.048,16.0,12.0
2070,Wagon Box Wheat Beer,American Pale Wheat Ale,457,1197,0.059,15.0,12.0
2071,Birdhouse Pale Ale,Belgian Pale Ale,262,1945,0.05,,12.0
2072,Ozzy,Belgian Pale Ale,262,1079,0.073,,12.0
2073,Resurrection,Dubbel,262,94,0.07,,12.0
2074,Bronx Summer Pale Ale,American Pale Ale (APA),329,1748,0.052000000000000005,16.0,16.0
2075,Bronx Black Pale Ale,American Black Ale,329,1747,0.057,46.0,16.0
2076,Bronx Pale Ale,American Pale Ale (APA),329,1037,0.063,50.0,16.0
2077,Surfrider,American Pale Ale (APA),33,2594,0.052000000000000005,35.0,16.0
2078,Kolschtal Eddy,Kölsch,33,2035,0.055,,16.0
2079,South Bay Session IPA,American IPA,33,2034,0.05,,16.0
2080,Grandma's Pecan,English Brown Ale,33,1562,0.069,34.0,16.0
2081,Double Trunk,American Double / Imperial IPA,33,1561,0.099,101.0,16.0
2082,Just IPA,American IPA,328,1749,0.046,45.0,12.0
2083,Lionshead,American Pilsner,90,2455,0.045,,12.0
2084,Manhattan Gold Lager (1990),American Amber / Red Lager,484,963,,,12.0
2085,G. B. Russo’s Italian Pistachio Pale Ale,American Pale Ale (APA),9,2638,0.052000000000000005,,16.0
2086,Northern Hawk Owl Amber,American Amber / Red Ale,438,1278,0.058,,12.0
2087,CEO Stout,American Stout,438,1277,0.059,,16.0
2088,Will Power Pale Ale,American Pale Ale (APA),438,1276,0.047,,16.0
2089,Curious Traveler Shandy,Shandy,334,1732,0.044,,12.0
2090,Hunny Do Wheat,American Pale Wheat Ale,142,2347,0.048,18.0,12.0
2091,Three Way Pale Ale,American Pale Ale (APA),142,1781,0.052000000000000005,,12.0
2092,Rise to the Top,Cream Ale,142,1780,0.041,,12.0
2093,Lost Trout Brown Ale,American Brown Ale,142,1779,0.049,,12.0
2094,Watermelon Ale,Fruit / Vegetable Beer,108,2421,0.051,11.0,12.0
2095,Knotty Blonde Ale,American Blonde Ale,153,2319,0.04,18.0,12.0
2096,Fivepine Chocolate Porter,American Porter,153,2317,0.062,40.0,12.0
2097,Hoodoo Voodoo IPA,American IPA,153,2316,0.062,82.0,12.0
2098,Hydraulion Red,Irish Red Ale,273,1913,0.053,22.0,12.0
2099,40 Mile IPA,American IPA,273,1912,0.06,50.0,12.0
2100,Citra Faced,American Pale Wheat Ale,21,2617,0.055,64.0,16.0
2101,Pole Barn Stout,Oatmeal Stout,21,2616,0.055,31.0,16.0
2102,Pale,American Pale Ale (APA),21,2615,0.054000000000000006,37.0,16.0
2103,Yoshi's Nectar,California Common / Steam Beer,21,2614,0.053,27.0,16.0
2104,Leatherhead Red,American Amber / Red Ale,282,1889,0.052000000000000005,,12.0
2105,Cropduster Mid-American IPA,American IPA,282,1222,0.065,,12.0
2106,Golden Frau Honey Wheat,Braggot,282,122,0.075,,12.0
2107,Cornstalker Dark Wheat,American Dark Wheat Ale,282,121,,,12.0
2108,Cafe Leche,American Porter,17,2623,0.058,20.0,16.0
2109,Damascene Apricot Sour,Fruit / Vegetable Beer,17,2622,0.052000000000000005,12.0,16.0
2110,Csar,Russian Imperial Stout,17,2621,0.12,90.0,16.0
2111,Klingon Warnog Roggen Dunkel,Roggenbier,17,1817,0.055,,16.0
2112,Overlord Imperial IPA,American Double / Imperial IPA,17,1449,0.085,115.0,16.0
2113,Alloy,American IPA,17,951,0.058,36.0,16.0
2114,Rivet Irish Red Ale,Irish Red Ale,17,950,0.051,22.0,16.0
2115,3 Gear Robust Porter,American Porter,17,949,0.052000000000000005,50.0,16.0
2116,Circuit Bohemian Pilsner,Czech Pilsener,17,948,0.045,35.0,16.0
2117,Turnrow Harvest Ale,American Blonde Ale,152,2321,0.055,,12.0
2118,Juke Joint IPA,American IPA,152,1755,0.07,60.0,12.0
2119,Parade Ground Coffee Porter,American Porter,152,1754,0.07,35.0,12.0
2120,Tin Roof Watermelon Wheat,Fruit / Vegetable Beer,152,1428,0.05,21.0,12.0
2121,Tin Roof Blonde Ale,American Blonde Ale,152,529,0.045,18.0,12.0
2122,Voodoo Bengal Pale Ale,American Pale Ale (APA),152,495,0.055,37.0,12.0
2123,Perfect Tin Amber,American Amber / Red Ale,152,494,0.045,28.0,12.0
2124,IPA & a Half,American IPA,291,1856,0.073,87.0,12.0
2125,Ornery Amber Lager (2003),Vienna Lager,291,736,0.055,33.0,12.0
2126,Big Island Shandy,Shandy,474,1027,0.05,,16.0
2127,Preservation IPA,American IPA,474,1026,0.068,,16.0
2128,Almanac IPA,American IPA,265,1938,0.062,72.0,12.0
2129,Milk Mustachio Stout,Milk / Sweet Stout,265,1937,0.065,,12.0
2130,Farmer's Tan Red Ale,American Amber / Red Ale,265,1936,0.06,30.0,12.0
2131,Triangle India Pale Ale,American IPA,524,594,0.057,,12.0
2132,Triangle White Ale,Witbier,524,114,0.05,,12.0
2133,Triangle Belgian Golden Ale,Belgian Strong Pale Ale,524,113,0.08,,12.0
2134,Troegenator,Doppelbock,97,2445,0.08199999999999999,,16.0
2135,Nugget Nectar,American Amber / Red Ale,97,2444,0.075,93.0,16.0
2136,Sunshine Pils,American Pilsner,97,2203,0.045,45.0,12.0
2137,Troegenator Doublebock,Doppelbock,97,1510,0.08199999999999999,25.0,16.0
2138,Perpetual IPA,American IPA,97,1509,0.075,85.0,12.0
2139,Greenville Pale Ale,American Pale Ale (APA),539,433,0.055,52.0,12.0
2140,Hoppy Boy,American IPA,520,641,0.062,65.0,16.0
2141,Cow Creek,American Amber / Red Lager,38,2588,0.054000000000000006,26.0,12.0
2142,Chupahopra,American IPA,38,2458,0.075,63.0,12.0
2143,Twisted X,American Adjunct Lager,38,2212,0.051,19.0,12.0
2144,Day Hike Session,American IPA,190,2235,0.041,41.0,12.0
2145,Trailhead ISA,American IPA,190,1661,0.048,48.0,12.0
2146,Immersion Amber,American Amber / Red Ale,190,1660,0.052000000000000005,27.0,12.0
2147,Evo IPA,American IPA,190,1659,0.062,70.0,12.0
2148,Presidential Pils,Czech Pilsener,190,1438,0.048,,12.0
2149,Evolutionary IPA (2012),American IPA,190,1173,0.062,70.0,12.0
2150,Persnickety Pale,American Pale Ale (APA),190,560,0.057,36.0,12.0
2151,SoDo Brown Ale,American Brown Ale,190,519,0.054000000000000006,20.0,12.0
2152,Immersion Amber Ale (2011),American Amber / Red Ale,190,518,0.052000000000000005,27.0,12.0
2153,Evolutionary IPA (2011),American IPA,190,505,0.062,70.0,12.0
2154,Trailhead India Style Session Ale (2011),American IPA,190,482,0.048,48.0,12.0
2155,Panorama Wheat Ale,American Pale Wheat Ale,190,451,0.046,,12.0
2156,Wobble,American IPA,74,2497,0.063,69.0,16.0
2157,Night Cat,American Dark Wheat Ale,74,2246,0.058,43.0,12.0
2158,Night Cat (2014),American Dark Wheat Ale,74,1630,0.058,43.0,12.0
2159,Dog Days Lager,Dortmunder / Export Lager,74,1284,0.051,17.0,12.0
2160,Sidekick Extra Pale Ale,American Pale Ale (APA),74,1121,0.051,36.0,12.0
2161,Atom Smasher,Märzen / Oktoberfest,74,1042,0.077,23.0,12.0
2162,Testudo,Bière de Garde,74,1041,0.045,,12.0
2163,Hobnob B & B Pale Ale,American Pale Ale (APA),74,1040,0.065,,12.0
2164,Cane and Ebel,American Strong Ale,74,861,0.07,68.0,12.0
2165,Outlaw IPA (2015),American IPA,74,642,0.065,,12.0
2166,The Gilded Age,Munich Helles Lager,243,2037,0.045,,12.0
2167,No Limits Hefeweizen,Hefeweizen,435,1285,0.05,,16.0
2168,Honeyspot Road White IPA,American White IPA,435,1189,0.06,,12.0
2169,Road 2 Ruin Double IPA,American Double / Imperial IPA,435,1171,0.07200000000000001,,12.0
2170,Workers Comp Saison,Saison / Farmhouse Ale,435,1170,0.048,,12.0
2171,Ol' Factory Pils,German Pilsener,435,1169,0.05,,12.0
2172,PUNK'N,Pumpkin Ale,159,2310,0.05,10.0,12.0
2173,Yard Sale Winter Lager,American Amber / Red Lager,159,2100,0.04,22.0,12.0
2174,Trader Session IPA,American IPA,159,1925,0.04,42.0,12.0
2175,Hop Nosh IPA,American IPA,159,1723,0.073,83.0,12.0
2176,SUM'R,American Blonde Ale,159,1212,0.04,17.0,12.0
2177,Organic Baba Black Lager,Schwarzbier,159,1097,0.04,32.0,12.0
2178,Hop Notch IPA (2013),American IPA,159,1089,0.073,82.0,12.0
2179,Cutthroat Pale Ale,American Pale Ale (APA),159,1088,0.04,34.0,12.0
2180,WYLD Extra Pale Ale,American Pale Ale (APA),159,974,0.04,29.0,12.0
2181,Pilsner Ukiah,German Pilsener,555,98,0.055,,12.0
2182,The Green Room,American IPA,126,2372,0.06,75.0,16.0
2183,Humbucker Helles,Maibock / Helles Bock,126,2367,0.047,25.0,16.0
2184,Uncle John's Apple Cherry Cider,Cider,338,1704,0.065,,16.0
2185,Uncle John's Apricot Apple Cider,Cider,338,1703,0.065,,16.0
2186,Draught Hard Apple Cider,Cider,338,877,0.065,,16.0
2187,Scotty K NA,Low Alcohol Beer,522,606,0.001,,16.0
2188,Bacon Brown Ale,American Brown Ale,522,543,0.068,,16.0
2189,Golden State Ale,Belgian Pale Ale,522,347,0.064,,16.0
2190,Baltic Porter,Baltic Porter,522,346,0.078,,16.0
2191,Siamese twin,Dubbel,522,25,0.085,,16.0
2192,Double Duckpin,American Double / Imperial IPA,71,2507,0.085,90.0,12.0
2193,Old Pro,Gose,71,2506,0.042,10.0,12.0
2194,Duckpin Pale Ale,American Pale Ale (APA),71,829,0.055,,12.0
2195,Balt Altbier,Altbier,71,582,0.06,,12.0
2196,Campside Session IPA,American IPA,202,2190,0.045,50.0,16.0
2197,Upland Wheat Ale,Witbier,202,1951,0.045,15.0,16.0
2198,Dragonfly IPA,American IPA,202,1950,0.06,,16.0
2199,Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,Quadrupel (Quad),51,2565,0.128,,19.2
2200,Lee Hill Series Vol. 4 - Manhattan Style Rye Ale,Rye Beer,51,2564,0.104,,19.2
2201,Lee Hill Series Vol. 2 - Wild Saison,American Wild Ale,51,2563,0.068,24.0,19.2
2202,Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,American Double / Imperial Stout,51,2562,0.099,51.0,19.2
2203,Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,American Brown Ale,51,2561,0.076,,19.2
2204,Blood Orange Saison,Saison / Farmhouse Ale,51,2560,0.06,,12.0
2205,Thai Style White IPA,American White IPA,51,1932,0.065,33.0,12.0
2206,Ferus Fluxus Wild Belgian Pale Ale,American Wild Ale,51,1853,0.075,30.0,19.2
2207,Upslope Imperial India Pale Ale,American Double / Imperial IPA,51,1315,0.099,90.0,19.2
2208,Upslope Christmas Ale,Winter Warmer,51,907,0.08199999999999999,,16.0
2209,Upslope Pumpkin Ale,Pumpkin Ale,51,906,0.077,,16.0
2210,Upslope Belgian Style Pale Ale,Belgian Pale Ale,51,683,0.075,30.0,12.0
2211,Upslope Foreign Style Stout,Foreign / Export Stout,51,614,0.069,,12.0
2212,Top Rope Mexican-style Craft Lager,Vienna Lager,51,466,0.048,15.0,12.0
2213,Upslope Craft Lager,Vienna Lager,51,444,0.048,22.0,12.0
2214,Upslope Brown Ale,English Brown Ale,51,345,0.067,,12.0
2215,Upslope Pale Ale,American Pale Ale (APA),51,80,0.058,,12.0
2216,Upslope India Pale Ale,American IPA,51,79,0.07200000000000001,,12.0
2217,Common Sense Kentucky Common Ale,American Brown Ale,546,382,0.053,22.0,16.0
2218,Upstate I.P.W.,American IPA,546,381,0.065,70.0,12.0
2219,Squatters Full Suspension Pale Ale,American Pale Ale (APA),302,1826,0.04,,12.0
2220,Squatters Hop Rising Double IPA,American Double / Imperial IPA,302,1825,0.09,75.0,12.0
2221,Devastator Double Bock,Doppelbock,302,1824,0.08,,12.0
2222,Wasatch Ghostrider White IPA,American White IPA,302,1823,0.06,,12.0
2223,Wasatch Ghostrider White IPA (2014),American White IPA,302,1682,0.06,,12.0
2224,Wasatch Apricot Hefeweizen,Fruit / Vegetable Beer,302,1681,0.04,,12.0
2225,Squatters Hop Rising Double IPA (2014),American Double / Imperial IPA,302,1680,0.09,75.0,12.0
2226,Nunica Pine,Cider,185,2245,0.068,,16.0
2227,Ginger Peach,Cider,185,2244,0.069,,16.0
2228,Totally Roasted,Cider,185,1378,0.068,,16.0
2229,Blue Gold,Cider,185,1377,0.068,,16.0
2230,Hard Apple,Cider,185,1376,0.068,,16.0
2231,Nitro Can Coffee Stout,American Stout,113,2411,0.052000000000000005,,12.0
2232,Voodoo Love Child,Tripel,322,1770,0.092,25.0,12.0
2233,White Magick of the Sun,Witbier,322,1769,0.079,23.0,12.0
2234,Wynona's Big Brown Ale,American Brown Ale,322,1730,0.075,31.0,12.0
2235,Gran Met,Belgian Strong Pale Ale,322,1729,0.092,25.0,12.0
2236,Good Vibes IPA,American IPA,322,1603,0.073,85.0,12.0
2237,Pilzilla,American Double / Imperial Pilsner,322,1488,0.075,85.0,12.0
2238,Wachusett Light IPA,American IPA,295,1846,0.04,37.0,12.0
2239,Green Monsta IPA,American IPA,295,1845,0.06,55.0,12.0
2240,Wachusett IPA,American IPA,295,1844,0.056,50.0,12.0
2241,Strawberry White,Witbier,295,1843,0.047,,12.0
2242,Larry Imperial IPA,American Double / Imperial IPA,295,1418,0.085,85.0,12.0
2243,Wachusett Summer,American Pale Wheat Ale,295,1038,0.047,,12.0
2244,Country Pale Ale,English Pale Ale,295,1030,0.051,17.0,12.0
2245,Wachusett Light IPA (2013),American IPA,295,1029,0.04,37.0,12.0
2246,Pumpkan,Pumpkin Ale,295,908,0.052000000000000005,20.0,12.0
2247,Wachusett Blueberry Ale,Fruit / Vegetable Beer,295,619,0.045,10.0,12.0
2248,T-6 Red Ale (2004),American Amber / Red Ale,506,780,0.047,,12.0
2249,Self Starter,American IPA,94,2450,0.052000000000000005,67.0,16.0
2250,Ermal's,Cream Ale,94,2223,0.054000000000000006,20.0,16.0
2251,10 Ton,Oatmeal Stout,94,2222,0.07,,16.0
2252,Flyin' Rye,American IPA,94,2221,0.07,,16.0
2253,Christmas Ale,Herbed / Spiced Beer,100,2439,0.09,,12.0
2254,Pay It Forward Cocoa Porter,American Porter,100,2356,0.07,,12.0
2255,West Sixth Amber Ale,American Amber / Red Ale,100,1069,0.055,,12.0
2256,West Sixth IPA,American IPA,100,652,,,12.0
2257,One Claw,American Pale Ale (APA),384,1542,0.055,,12.0
2258,Westbrook Gose,Gose,384,1312,0.04,5.0,12.0
2259,White Thai,Witbier,384,576,0.05,16.0,12.0
2260,Westbrook IPA,American IPA,384,575,0.068,65.0,12.0
2261,Westfield Octoberfest,Märzen / Oktoberfest,351,1645,0.057,22.0,12.0
2262,Pop's Old Fashioned Lager,American Amber / Red Lager,351,1551,0.052000000000000005,,12.0
2263,Charlie in the Rye,American IPA,351,1550,0.058,55.0,12.0
2264,Royal Lager,American Pale Lager,132,2364,,,16.0
2265,Rip Van Winkle (Current),Bock,132,2348,0.08,,12.0
2266,O’Malley’s Stout,English Stout,132,2344,,,12.0
2267,O’Malley’s IPA,American IPA,132,2343,0.075,89.0,12.0
2268,O’Malley’s Irish Style Cream Ale,Cream Ale,132,2342,,,12.0
2269,L'il Lucy's Hot Pepper Ale,Chile Beer,132,2341,0.049,28.0,12.0
2270,Drop Kick Ale,American Amber / Red Ale,132,2340,0.052000000000000005,,12.0
2271,Raspberry Berliner Weisse,Berliner Weissbier,47,2573,0.055,,12.0
2272,Hop Session,American IPA,47,2572,0.05,,12.0
2273,Blueberry Berliner Weisse,Berliner Weissbier,47,2571,0.055,,12.0
2274,Berliner Weisse,Berliner Weissbier,47,2570,0.055,,12.0
2275,Super G IPA,American IPA,396,1498,0.06,,16.0
2276,Hefe Lemon,Radler,296,1838,0.049,30.0,12.0
2277,Hefe Black,Hefeweizen,296,1837,0.049,30.0,12.0
2278,Widmer Brothers Hefeweizen,Hefeweizen,296,1836,0.049,30.0,12.0
2279,Hop Slayer Double IPA,American Double / Imperial IPA,361,1619,0.08199999999999999,100.0,12.0
2280,Pumpkin Ale,Pumpkin Ale,361,1618,0.045,,12.0
2281,Big Bowl Blonde Ale,American Brown Ale,361,1364,0.05,,12.0
2282,Phat Chance,American Blonde Ale,361,971,0.052000000000000005,27.0,12.0
2283,Hop Slayer Double IPA (2011),American Double / Imperial IPA,361,740,0.08199999999999999,100.0,12.0
2284,Wild Onion Summer Wit,Witbier,361,398,0.042,13.0,12.0
2285,Jack Stout,Oatmeal Stout,361,366,0.06,23.0,12.0
2286,Wild Onion Pumpkin Ale (2010),Pumpkin Ale,361,334,0.045,,12.0
2287,Paddy Pale Ale,American Pale Ale (APA),361,162,0.056,41.0,12.0
